Age,Gender,Year_of_Study,Monthly_Income_AED,Living,Transport_Mode,Order_Frequency,Order_Time,Preferred_Cuisines,Choice_Factors,Accept_Delay_for_Freshness,Uses_Apps,Used_Apps,Satisfaction_Score,Multi_Restaurant_Order,Willing_to_Wait_for_Fresh_Food,Max_Willingness_to_Pay_AED,Wants_Personal_Suggestions,Likes_Bundle_Deals,Cares_About_Sustainability,Empathy_Preference,Biggest_Frustration,Common_Problems,Sustainable_Rewards,Loyalty_Likelihood
19,Female,1st Year,1260,Off-campus,Bike,3-5,Dinner,Italian,"Price, Quality",Yes,Yes,"Talabat, Zomato, Uber Eats",3,Yes,Yes,23,Maybe,Yes,No,Doesn’t matter,High prices,"Late delivery, Poor packaging, Limited variety",Maybe,4
24,Female,2nd Year,1648,On-campus,Personal Vehicle,6+,Lunch,"Italian, Indian","Sustainability, Reviews",No,Yes,Zomato,1,Yes,No,22,Maybe,No,Somewhat,No,Cold food,Cold food,Maybe,2
18,Female,1st Year,1731,Off-campus,Ride-hailing,3-5,Varies,Healthy,"Variety, Quality",No,Yes,Others,1,Yes,Maybe,18,No,No,Yes,Yes,High prices,High price,Yes,2
22,Male,3rd Year,1598,On-campus,Bike,3-5,Breakfast,"Italian, Chinese, Fast Food","Variety, Sustainability, Speed",Yes,Yes,"Others, Zomato, Uber Eats",1,Yes,Yes,35,Maybe,Yes,Somewhat,Doesn’t matter,High prices,Cold food,No,2
18,Prefer not to say,3rd Year,1655,On-campus,Bike,6+,Breakfast,"Others, Fast Food","Price, Variety, Reviews",Yes,No,None,3,Maybe,Maybe,17,Maybe,No,Somewhat,No,Cold food,"Poor packaging, Cold food, High price",No,2
18,Prefer not to say,1st Year,2349,Off-campus,Personal Vehicle,1-2,Dinner,Italian,"Variety, Price, Sustainability",No,Yes,Others,4,Yes,Yes,37,Yes,No,No,No,High prices,"High price, Cold food",Yes,1
22,Female,2nd Year,2035,Off-campus,Personal Vehicle,3-5,Late night,Chinese,"Quality, Reviews",Maybe,Yes,"Others, Uber Eats",5,Maybe,Yes,26,Maybe,Maybe,Yes,No,Cold food,"Poor packaging, Limited variety, Late delivery",Yes,2
23,Male,2nd Year,1595,On-campus,Ride-hailing,1-2,Varies,"Healthy, Others, Italian","Variety, Speed, Reviews",Yes,Yes,Others,2,Maybe,Yes,51,Maybe,Maybe,No,Yes,Limited menu,"High price, Poor packaging, Cold food",No,3
22,Female,2nd Year,1970,Off-campus,Walk,3-5,Dinner,"Healthy, Fast Food, Others","Variety, Price, Reviews",Yes,Yes,"Others, Uber Eats, Talabat",4,Yes,No,18,No,Maybe,Somewhat,Doesn’t matter,High prices,"Cold food, Limited variety, Poor packaging",Yes,2
21,Male,1st Year,983,Off-campus,Walk,3-5,Breakfast,"Chinese, Others","Quality, Price, Reviews",Maybe,Yes,"Uber Eats, Zomato",3,No,Maybe,37,No,No,Somewhat,No,High prices,High price,Yes,1
21,Male,2nd Year,1698,Off-campus,Public Transport,3-5,Dinner,"Fast Food, Indian, Healthy","Reviews, Price",Yes,Yes,Others,3,Yes,No,30,Yes,Yes,Yes,No,High prices,"Limited variety, Cold food, High price",Maybe,5
18,Male,4th Year,2404,On-campus,Bike,1-2,Varies,Chinese,"Quality, Price",Maybe,Yes,"Zomato, Uber Eats, Talabat",1,No,Yes,19,Yes,Maybe,Somewhat,Doesn’t matter,Late delivery,Late delivery,Maybe,5
20,Female,1st Year,1390,Off-campus,Ride-hailing,1-2,Lunch,"Chinese, Fast Food, Indian","Reviews, Speed",No,Yes,"Talabat, Uber Eats, Others",4,Yes,Yes,30,No,No,Somewhat,Yes,High prices,"High price, Cold food, Poor packaging",Yes,5
20,Female,1st Year,1076,On-campus,Bike,3-5,Varies,"Fast Food, Healthy","Sustainability, Speed",No,Yes,"Uber Eats, Zomato",1,Yes,Yes,29,No,Maybe,Yes,Yes,Cold food,"Poor packaging, Cold food",Yes,4
24,Female,2nd Year,1173,On-campus,Ride-hailing,3-5,Lunch,"Healthy, Italian","Sustainability, Variety, Reviews",Yes,Yes,Others,2,Yes,Yes,21,Maybe,Yes,No,Yes,Late delivery,"Cold food, High price",Maybe,3
22,Female,Postgraduate,955,On-campus,Ride-hailing,1-2,Lunch,"Indian, Others, Italian","Variety, Speed",Yes,Yes,"Uber Eats, Zomato, Talabat",1,No,Yes,29,Yes,Yes,Yes,Yes,Late delivery,"Limited variety, Late delivery",Yes,1
18,Male,3rd Year,1107,Off-campus,Ride-hailing,6+,Lunch,"Italian, Indian, Others","Reviews, Variety",No,Yes,"Zomato, Others, Talabat",2,Maybe,Maybe,36,Yes,Yes,Somewhat,Yes,High prices,"Cold food, Late delivery, Poor packaging",Maybe,5
22,Male,3rd Year,1314,On-campus,Bike,1-2,Dinner,"Chinese, Fast Food","Price, Sustainability, Speed",Maybe,Yes,"Zomato, Uber Eats",3,Yes,No,30,Maybe,Yes,Yes,No,No tracking,Poor packaging,Maybe,1
21,Male,2nd Year,797,On-campus,Personal Vehicle,3-5,Breakfast,Others,"Sustainability, Variety, Reviews",Maybe,Yes,"Zomato, Others, Talabat",1,Yes,Yes,20,Maybe,Yes,No,No,Late delivery,Poor packaging,No,1
20,Prefer not to say,3rd Year,1507,On-campus,Bike,3-5,Dinner,"Italian, Healthy, Chinese","Reviews, Speed",Yes,Yes,"Zomato, Uber Eats, Talabat",1,Yes,Yes,20,Yes,Yes,Somewhat,No,Cold food,"Late delivery, High price",Maybe,4
23,Male,1st Year,1951,Off-campus,Ride-hailing,3-5,Breakfast,"Indian, Italian, Chinese","Quality, Price",Yes,No,None,5,Maybe,Yes,24,No,No,No,Doesn’t matter,High prices,"Late delivery, High price, Cold food",No,5
24,Female,3rd Year,1046,Off-campus,Public Transport,6+,Varies,Italian,"Sustainability, Speed",Yes,Yes,"Zomato, Talabat, Others",3,Yes,No,36,No,Maybe,No,Yes,Cold food,"Cold food, Poor packaging",No,2
24,Female,Postgraduate,2259,On-campus,Walk,3-5,Late night,Healthy,"Quality, Speed, Variety",Maybe,Yes,"Others, Uber Eats",5,No,Maybe,17,Maybe,Yes,Yes,Doesn’t matter,No tracking,"Late delivery, Poor packaging",Maybe,1
19,Male,3rd Year,1755,Off-campus,Ride-hailing,3-5,Varies,"Indian, Healthy, Italian","Quality, Variety",Yes,Yes,"Uber Eats, Talabat",2,Yes,No,28,Yes,Maybe,No,Yes,High prices,"Cold food, Limited variety",Yes,5
21,Female,4th Year,2015,Off-campus,Public Transport,0,Dinner,"Indian, Others","Sustainability, Variety, Reviews",Yes,Yes,"Uber Eats, Talabat",2,Yes,Yes,10,Maybe,Maybe,Yes,Yes,Cold food,Late delivery,Maybe,1
22,Female,4th Year,1171,Off-campus,Personal Vehicle,1-2,Dinner,"Italian, Chinese","Quality, Reviews",Yes,Yes,Zomato,3,Maybe,Yes,30,No,No,Yes,Doesn’t matter,Cold food,Poor packaging,No,4
24,Female,1st Year,1927,On-campus,Ride-hailing,1-2,Breakfast,Chinese,"Sustainability, Speed, Quality",Yes,Yes,"Uber Eats, Others, Talabat",2,No,Maybe,32,No,Yes,No,No,High prices,"High price, Limited variety, Late delivery",Maybe,4
20,Non-binary,Postgraduate,954,Off-campus,Public Transport,3-5,Dinner,"Indian, Others, Fast Food","Reviews, Speed",Maybe,Yes,Others,3,No,Maybe,45,Maybe,Yes,Yes,Doesn’t matter,Limited menu,"High price, Poor packaging, Limited variety",Maybe,2
21,Male,1st Year,1945,Off-campus,Ride-hailing,1-2,Lunch,Healthy,"Price, Speed, Quality",No,No,None,2,Yes,Yes,34,No,No,Yes,No,Limited menu,"Poor packaging, Late delivery",No,4
19,Male,3rd Year,1585,Off-campus,Bike,1-2,Dinner,Chinese,"Speed, Quality",Yes,Yes,"Talabat, Uber Eats, Zomato",4,Maybe,Yes,20,Yes,No,No,Yes,No tracking,Cold food,Maybe,5
19,Female,1st Year,1776,On-campus,Public Transport,1-2,Breakfast,"Fast Food, Healthy, Chinese","Sustainability, Variety",Yes,Yes,"Uber Eats, Others, Zomato",1,Yes,Yes,10,Maybe,No,Somewhat,No,Late delivery,"Limited variety, Cold food",Maybe,4
24,Non-binary,1st Year,912,Off-campus,Bike,1-2,Breakfast,"Healthy, Others","Sustainability, Speed, Variety",Yes,No,None,4,Maybe,Maybe,30,Maybe,No,Yes,Yes,Late delivery,"Poor packaging, Limited variety",No,2
25,Male,2nd Year,1052,Off-campus,Bike,1-2,Lunch,"Chinese, Healthy","Speed, Variety, Reviews",Yes,Yes,"Others, Zomato",3,Yes,No,21,Maybe,No,Yes,Yes,High prices,"Poor packaging, Cold food",Yes,3
21,Female,2nd Year,5394,Off-campus,Public Transport,6+,Breakfast,"Others, Chinese, Italian","Variety, Quality",Yes,Yes,Zomato,3,Yes,No,28,No,Maybe,No,No,High prices,"Late delivery, Cold food",No,1
24,Female,2nd Year,1025,On-campus,Walk,3-5,Late night,"Others, Italian","Speed, Quality",No,Yes,"Uber Eats, Zomato",4,Yes,Yes,17,Yes,No,Yes,Yes,High prices,"Cold food, Poor packaging, Limited variety",No,1
22,Female,3rd Year,1731,On-campus,Public Transport,3-5,Varies,"Healthy, Fast Food","Sustainability, Price, Quality",Yes,Yes,"Uber Eats, Talabat, Others",1,Yes,Yes,23,Maybe,Yes,No,No,High prices,"High price, Late delivery, Poor packaging",Maybe,5
20,Male,1st Year,816,Off-campus,Walk,3-5,Dinner,Chinese,"Variety, Speed",Yes,Yes,Zomato,1,Yes,Yes,10,Maybe,Yes,Somewhat,Doesn’t matter,Limited menu,"High price, Cold food, Poor packaging",No,2
22,Female,1st Year,1924,Off-campus,Ride-hailing,1-2,Late night,Indian,"Variety, Sustainability",Yes,Yes,"Talabat, Uber Eats, Zomato",5,Maybe,Maybe,14,No,No,Somewhat,Yes,No tracking,"Limited variety, Poor packaging, Late delivery",Maybe,2
25,Non-binary,3rd Year,883,On-campus,Ride-hailing,6+,Dinner,"Indian, Healthy","Variety, Reviews, Sustainability",No,Yes,"Others, Talabat, Zomato",2,No,Yes,13,Yes,No,No,Yes,Cold food,"High price, Limited variety",Maybe,2
21,Male,2nd Year,1776,Off-campus,Public Transport,1-2,Late night,"Chinese, Healthy, Others","Variety, Speed, Price",No,Yes,"Talabat, Others",5,Maybe,No,33,Maybe,No,Somewhat,Doesn’t matter,Cold food,"High price, Poor packaging, Cold food",Maybe,1
25,Male,4th Year,1812,On-campus,Ride-hailing,1-2,Dinner,Indian,"Speed, Quality",No,Yes,Zomato,1,Yes,Yes,16,No,No,No,Yes,Limited menu,"Cold food, High price, Limited variety",No,4
18,Prefer not to say,3rd Year,1151,Off-campus,Personal Vehicle,3-5,Lunch,"Others, Indian, Chinese","Quality, Speed",No,Yes,"Zomato, Others",4,Yes,Maybe,38,Maybe,No,Yes,Doesn’t matter,No tracking,High price,No,1
24,Male,4th Year,1791,Off-campus,Bike,1-2,Breakfast,Indian,"Speed, Variety, Sustainability",No,Yes,"Talabat, Others, Uber Eats",2,Maybe,Maybe,16,No,Yes,Somewhat,Doesn’t matter,High prices,"High price, Late delivery",Maybe,1
22,Female,3rd Year,1630,Off-campus,Bike,3-5,Breakfast,"Indian, Healthy","Sustainability, Price",Yes,Yes,"Talabat, Uber Eats",4,Yes,Yes,45,Yes,Maybe,Yes,Yes,Late delivery,"Late delivery, Poor packaging, High price",Yes,1
21,Female,2nd Year,1230,Off-campus,Walk,1-2,Lunch,Italian,"Sustainability, Quality, Price",Maybe,Yes,"Talabat, Zomato",5,Yes,Maybe,10,No,No,Yes,Doesn’t matter,Limited menu,Late delivery,Yes,4
22,Male,3rd Year,995,On-campus,Ride-hailing,3-5,Late night,"Fast Food, Chinese, Healthy","Sustainability, Speed, Variety",Yes,Yes,"Uber Eats, Zomato, Talabat",3,Maybe,Yes,29,Maybe,No,No,Doesn’t matter,Limited menu,Poor packaging,No,3
18,Female,2nd Year,518,Off-campus,Walk,1-2,Varies,"Healthy, Others, Fast Food","Reviews, Speed",Yes,Yes,Zomato,4,Yes,Yes,25,Maybe,No,Somewhat,Doesn’t matter,High prices,Late delivery,Maybe,5
21,Male,2nd Year,1674,On-campus,Bike,1-2,Late night,Fast Food,"Price, Variety, Quality",No,Yes,Others,5,Yes,Yes,12,No,Yes,Somewhat,Yes,Limited menu,"High price, Limited variety, Late delivery",Maybe,3
22,Female,4th Year,717,Off-campus,Bike,3-5,Breakfast,"Chinese, Indian","Price, Variety, Reviews",Yes,Yes,"Others, Talabat",5,Maybe,Maybe,19,Yes,Yes,Yes,Doesn’t matter,Cold food,"Poor packaging, Cold food",No,3
25,Male,2nd Year,1547,Off-campus,Ride-hailing,1-2,Varies,Others,"Speed, Sustainability",Maybe,Yes,"Talabat, Others",5,Yes,Maybe,22,Yes,Maybe,Yes,No,High prices,"Limited variety, Late delivery",Yes,1
20,Female,4th Year,1368,Off-campus,Personal Vehicle,1-2,Dinner,"Italian, Fast Food","Reviews, Sustainability, Variety",Yes,No,None,3,Maybe,Yes,27,Maybe,Maybe,No,No,Cold food,"Late delivery, Cold food",No,3
19,Male,4th Year,1839,On-campus,Personal Vehicle,0,Varies,"Fast Food, Indian","Sustainability, Speed",Maybe,Yes,"Others, Talabat, Uber Eats",3,Yes,No,15,Maybe,Maybe,Somewhat,Doesn’t matter,High prices,"Late delivery, Limited variety, High price",No,1
20,Male,4th Year,1348,Off-campus,Ride-hailing,3-5,Late night,"Others, Indian, Healthy","Speed, Price",Maybe,Yes,Others,3,No,No,29,No,Maybe,No,No,Late delivery,"High price, Cold food, Poor packaging",Maybe,1
24,Prefer not to say,Postgraduate,1335,On-campus,Ride-hailing,3-5,Lunch,"Others, Italian","Sustainability, Quality, Speed",Maybe,Yes,Uber Eats,2,Yes,Maybe,26,No,Yes,No,Yes,Cold food,"Poor packaging, Late delivery, High price",No,5
22,Male,2nd Year,1865,On-campus,Walk,1-2,Dinner,Chinese,"Reviews, Quality, Sustainability",Maybe,Yes,"Others, Uber Eats",3,No,Yes,32,No,Maybe,No,Doesn’t matter,High prices,"Cold food, Poor packaging",Yes,2
20,Female,2nd Year,1667,Off-campus,Ride-hailing,6+,Late night,Chinese,"Sustainability, Price, Speed",Maybe,Yes,"Zomato, Others",3,Yes,Yes,16,Yes,No,Somewhat,Yes,Limited menu,Late delivery,No,1
23,Male,3rd Year,1658,Off-campus,Personal Vehicle,6+,Dinner,"Fast Food, Chinese, Others","Price, Quality, Speed",No,Yes,"Uber Eats, Talabat, Others",3,Maybe,No,20,Yes,Yes,No,No,Limited menu,"Cold food, High price",Maybe,3
22,Female,2nd Year,1734,Off-campus,Ride-hailing,3-5,Varies,Italian,"Speed, Reviews",Yes,Yes,"Uber Eats, Talabat",4,Yes,Yes,39,Maybe,Yes,Somewhat,No,No tracking,Limited variety,Yes,5
24,Male,3rd Year,732,On-campus,Walk,3-5,Breakfast,"Chinese, Indian","Speed, Variety, Sustainability",Yes,Yes,Uber Eats,3,Yes,Yes,15,Maybe,Yes,No,No,High prices,"Limited variety, Cold food",Maybe,3
20,Prefer not to say,4th Year,1878,On-campus,Walk,1-2,Late night,"Healthy, Indian","Sustainability, Quality",No,Yes,"Others, Talabat, Zomato",2,No,No,11,Maybe,No,Yes,No,Late delivery,"Late delivery, High price",No,2
21,Female,3rd Year,1806,Off-campus,Walk,3-5,Lunch,Others,"Variety, Reviews, Price",Maybe,Yes,"Talabat, Uber Eats, Others",5,Yes,Yes,18,No,Yes,No,Yes,No tracking,"Cold food, Late delivery, Poor packaging",No,4
21,Male,2nd Year,2973,Off-campus,Walk,1-2,Varies,"Indian, Others, Chinese","Variety, Sustainability",No,Yes,"Talabat, Others, Zomato",4,Yes,Maybe,10,Yes,No,No,Doesn’t matter,Limited menu,"Limited variety, High price",No,2
18,Male,1st Year,1377,On-campus,Public Transport,1-2,Late night,Fast Food,"Reviews, Quality, Variety",Maybe,Yes,"Zomato, Others, Uber Eats",1,Yes,Yes,41,Maybe,Maybe,Somewhat,Yes,Late delivery,"Cold food, Late delivery",Maybe,5
22,Male,2nd Year,1480,Off-campus,Ride-hailing,6+,Lunch,"Fast Food, Chinese","Quality, Sustainability, Price",Maybe,Yes,"Zomato, Uber Eats",3,Yes,Maybe,22,Maybe,Yes,Yes,Doesn’t matter,High prices,"Poor packaging, Limited variety, Late delivery",No,2
22,Female,1st Year,1432,Off-campus,Bike,3-5,Late night,"Indian, Chinese","Reviews, Variety",Yes,Yes,Others,5,Yes,Yes,22,Maybe,No,Yes,No,Limited menu,"Poor packaging, Late delivery",Yes,2
22,Male,4th Year,1666,Off-campus,Ride-hailing,1-2,Varies,"Indian, Fast Food","Price, Sustainability, Variety",Yes,Yes,"Talabat, Uber Eats",5,Yes,Yes,32,Maybe,Yes,Somewhat,No,No tracking,"Poor packaging, Limited variety",Yes,5
21,Female,2nd Year,2215,Off-campus,Public Transport,1-2,Late night,"Fast Food, Italian","Variety, Speed",Yes,Yes,"Uber Eats, Zomato",4,Yes,Yes,17,Maybe,Maybe,Somewhat,No,Limited menu,High price,Maybe,5
18,Male,1st Year,2040,Off-campus,Walk,3-5,Dinner,"Others, Healthy","Quality, Reviews, Sustainability",Yes,Yes,Zomato,1,No,No,22,Maybe,Yes,Yes,No,Cold food,Poor packaging,Maybe,3
20,Male,1st Year,843,Off-campus,Public Transport,0,Varies,"Others, Fast Food, Chinese","Sustainability, Reviews, Speed",No,Yes,"Zomato, Others, Uber Eats",2,Yes,No,17,Yes,Maybe,Somewhat,Yes,No tracking,"High price, Poor packaging",Maybe,1
21,Female,3rd Year,1811,Off-campus,Personal Vehicle,0,Late night,Italian,"Quality, Price, Sustainability",Maybe,Yes,"Zomato, Uber Eats, Others",5,Yes,Yes,10,Maybe,Yes,Yes,Doesn’t matter,Limited menu,"Late delivery, Poor packaging",No,4
19,Female,3rd Year,2164,On-campus,Personal Vehicle,0,Breakfast,Indian,"Reviews, Variety",No,Yes,Talabat,5,Maybe,Yes,25,Yes,No,No,Doesn’t matter,No tracking,"Cold food, Limited variety",Yes,4
21,Male,2nd Year,1693,Off-campus,Ride-hailing,1-2,Late night,"Others, Healthy, Indian","Price, Speed",Yes,Yes,"Talabat, Zomato",5,Maybe,No,35,No,Maybe,No,No,High prices,"Late delivery, Poor packaging",Yes,4
23,Male,1st Year,2045,Off-campus,Ride-hailing,3-5,Dinner,"Italian, Indian, Healthy","Variety, Price, Reviews",Yes,Yes,"Talabat, Others, Uber Eats",5,Yes,Yes,25,Yes,Yes,Yes,Yes,Cold food,"Limited variety, Cold food",Yes,2
26,Male,2nd Year,2506,Off-campus,Bike,0,Lunch,"Fast Food, Healthy, Chinese","Reviews, Speed",Yes,Yes,"Zomato, Uber Eats",4,Yes,No,34,No,Maybe,Yes,No,Cold food,Poor packaging,Maybe,5
22,Female,2nd Year,2011,On-campus,Bike,3-5,Lunch,Healthy,"Speed, Quality, Price",No,Yes,"Uber Eats, Talabat",1,Maybe,Yes,14,Yes,Maybe,No,Doesn’t matter,Limited menu,"Cold food, Limited variety, Late delivery",Maybe,5
22,Female,3rd Year,1624,Off-campus,Personal Vehicle,1-2,Lunch,Chinese,"Quality, Price, Reviews",Yes,Yes,"Uber Eats, Talabat, Zomato",5,Yes,No,17,Yes,No,No,Doesn’t matter,No tracking,"Late delivery, Cold food",No,5
